listing_url,scrape_id,last_scraped,thumbnail_url,host_name,host_since,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_group_cleansed,city,state,zipcode,market,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,jurisdiction_names,instant_bookable,cancellation_policy,reviews_per_month
https://www.airbnb.com/rooms/175576,20160104002432,2016-01-04,https://a0.muscache.com/ac/pictures/2788698/87bbe718_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Ray & Eileen,2010-09-19,100%,100%,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.548.170.841.010,-12.235.847.776.162.100,House,Entire home/apt,2,1.0,1,1,Real Bed,$95.00,$595.00,,,$15.00,2,$15.00,3,7,a week ago,2016-01-04,181,2011-07-21,2015-11-25,97,WASHINGTON,f,moderate,3.33
https://www.airbnb.com/rooms/4454295,20160104002432,2016-01-04,https://a0.muscache.com/ac/pictures/59566840/b8d1403f_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Nadia,2013-01-06,100%,100%,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.721.407.513.560,-1.223.600.457.614.140,House,Entire home/apt,2,1.0,1,1,Real Bed,$99.00,$800.00,"$2,000.00",$500.00,$150.00,1,$0.00,3,1125,a week ago,2016-01-04,8,2015-05-06,2015-12-16,97,WASHINGTON,f,strict,0.98
https://www.airbnb.com/rooms/3883392,20160104002432,2016-01-04,https://a2.muscache.com/ac/pictures/48864586/907aa25d_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Pat & Roberta,2014-08-13,100%,100%,1,1,t,t,,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.554.551.151.230,-12.237.317.075.183.500,Apartment,Entire home/apt,4,1.0,2,3,Real Bed,$245.00,"$1,575.00","$5,800.00",$300.00,$95.00,1,$0.00,3,14,2 weeks ago,2016-01-04,13,2014-11-09,2015-10-02,98,WASHINGTON,f,moderate,0.92
https://www.airbnb.com/rooms/8889257,20160104002432,2016-01-04,https://a2.muscache.com/ac/pictures/69b4dfed-9fd1-494d-a279-e0539b0790e4.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Ellie,2015-01-10,100%,100%,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.762.950.680.923.430,-1.223.676.292.967.410,House,Entire home/apt,5,1.0,2,3,Real Bed,$165.00,,"$5,000.00",$400.00,$85.00,4,$20.00,2,1125,today,2016-01-04,3,2015-12-16,2016-01-02,100,WASHINGTON,f,strict,3
https://www.airbnb.com/rooms/5680462,20160104002432,2016-01-04,https://a2.muscache.com/ac/pictures/91278310/1ed06e04_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Sarah,2014-10-10,100%,100%,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.920.265.551.500,-12.236.586.274.154.300,House,Entire home/apt,16,3.5,6,15,Real Bed,$461.00,,,"$1,500.00",$300.00,8,$50.00,3,29,5 days ago,2016-01-04,18,2015-06-15,2015-11-15,98,WASHINGTON,t,strict,2.65
https://www.airbnb.com/rooms/8988178,20160104002432,2016-01-04,,Paige,2012-07-18,100%,100%,1,1,t,f,,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.564.979.343.850,-12.237.289.282.480.900,House,Entire home/apt,5,1.0,2,2,Real Bed,$109.00,,,,$89.00,1,$0.00,3,15,3 days ago,2016-01-04,1,2015-11-25,2015-11-25,80,WASHINGTON,f,strict,0.73
https://www.airbnb.com/rooms/3245876,20160104002432,2016-01-04,https://a0.muscache.com/ac/pictures/57011178/e3a32f74_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Libby,2013-10-16,100%,100%,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.762.620.037.381.700,-12.236.660.192.617.500,Apartment,Private room,2,1.0,1,1,Real Bed,$66.00,,,$100.00,$35.00,1,$25.00,1,10,yesterday,2016-01-04,84,2014-06-30,2016-01-02,95,WASHINGTON,f,moderate,4.55
https://www.airbnb.com/rooms/4933447,20160104002432,2016-01-04,https://a1.muscache.com/ac/pictures/65170901/61415688_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Markus And Melissa,2014-12-31,100%,100%,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.764.064.587.578.450,-12.237.240.588.895.500,House,Private room,2,1.0,1,1,Real Bed,$99.00,,,$100.00,$15.00,1,$0.00,2,14,2 weeks ago,2016-01-04,45,2015-03-16,2015-11-06,98,WASHINGTON,t,moderate,4.58
https://www.airbnb.com/rooms/7735464,20160104002432,2016-01-04,https://a2.muscache.com/ac/pictures/98338372/c8a06130_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Sam,2013-04-30,N/A,N/A,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.977.587.341.080,-12.237.223.535.879.900,Apartment,Private room,2,2.0,1,1,Futon,$200.00,,,,,1,$0.00,1,1125,5 months ago,2016-01-04,0,,,,WASHINGTON,f,flexible,
https://www.airbnb.com/rooms/6291829,20160104002432,2016-01-04,,Kary,2015-05-05,N/A,N/A,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.602.477.658.130,-12.235.869.359.564.700,House,Entire home/apt,10,3.5,5,5,Real Bed,$700.00,"$4,100.00",,$500.00,$250.00,1,$0.00,3,30,2 months ago,2016-01-04,5,2015-07-07,2015-08-10,85,WASHINGTON,f,flexible,0.82
